bl,Smite 2 Username,Vetted Division,Smite 2 Tracker.gg Link,Discord Username,What was your placement in BSL season 1?,What division do you think you should be placed in?,What is your main Role,What is your secondary Role (If you have one),Are you interested in being a captain?,Availability [Mondays],Availability [Tuesdays],Availability [Wednesdays],Availability [Thursdays],Availability [Fridays],Availability [Saturdays],Availability [Sundays],BSL is a Saturday League;  Do you acknowledge that default will be on Saturday and that you have to the best of your understanding the day available to play? 
12/10/2025 15:38:48,Cocoa,Tiamat Captain,https://tracker.gg/smite2/profile/steam/76561198082345115/overview?gamemode=conquest-ranked&season=3,VulgarOverlord,Didn't Play,Tiamat,ADC,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:02:28,DrunkDiplomat ,Tiamat Captain,https://tracker.gg/smite2/profile/steam/76561199176302362/overview?gamemode=conquest-ranked&season=3,DrunkDiplomat ,Didn't Play,Tiamat,ADC,Mid,Yes,Yes,Yes,No,No,Yes,Yes,Yes,available
12/1/2025 8:43:13,Furballer,Tiamat Captain,https://tracker.gg/smite2/profile/steam/76561198073762281/overview?gamemode=conquest-ranked&season=3,Furballer,Tiamat ( vetted out),Tiamat,ADC,ADC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/5/2025 23:13:12,Inferno,Tiamat Captain,tracker.gg/smite2/profile/steam/76561198084762990?gamemode=conquest-ranked,InfernoMMR,Didn't Play,Ishtar,ADC,Mid,Yes,No,No,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 12:49:11,Vayu,Tiamat Captain,https://tracker.gg/smite2/profile/steam/76561198313852345/overview?gamemode=conquest-ranked&season=3,Vayu,Didn't Play,Tiamat,ADC,Jungle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:40:09,BongRipErik,Tiamat Captain,https://tracker.gg/smite2/profile/steam/76561199163771364/overview?gamemode=conquest-ranked&season=3,BongRipErik,Ishtar,Tiamat,Jungle,Solo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:09:41,korraaaaa,Tiamat Captain,https://tracker.gg/smite2/profile/steam/76561198109107797/overview?gamemode=conquest-ranked&season=3 & https://tracker.gg/smite2/profile/steam/76561199788406176/overview?gamemode=conquest-ranked&season=3 ,korraaaaaaa,Tiamat ( vetted out),Tiamat,Jungle,Fill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/5/2025 22:31:04,Dëst,Tiamat Captain,https://tracker.gg/smite2/profile/steam/76561198175301107/overview?gamemode=conquest-ranked&season=3,dest__,Didn't Play,Tiamat,Mid,Support,Yes,Yes,Yes,No,No,No,Yes,Yes,available
12/1/2025 8:33:05,Hydra,Tiamat Captain,i will find this later. I'm on mobile rn,chaotichydra,Tiamat ( vetted out),Tiamat,Solo,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:05:57,TheBugOnYou,Tiamat Captain,https://tracker.gg/smite2/profile/xbl/TheBugOnYou/overview?gamemode=conquest-ranked&season=3,thebugonyou,Didn't Play,Tiamat,Solo,Jungle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
